,DOTUSDT,ETCUSDT,spread,Zscore
77,5.735,19.72,0.016200000000001324,-0.14091542280076624
78,5.725,19.905,-0.047450000000000436,-1.9986799708509992
79,5.721,19.996,-0.07783999999999924,-2.418858606727539
80,5.778,19.96,-0.010400000000000631,-0.5360617649894441
81,5.715,19.905,-0.05745000000000022,-1.596152990951256
82,5.685,19.82,-0.06280000000000019,-1.5335955559087737
83,5.745,19.747,0.018370000000000886,0.5186433306321149
84,5.74,19.919,-0.03650999999999982,-0.8358900275313288
85,5.724,19.92,-0.052799999999999514,-1.1763151181812808
86,5.747,19.879,-0.017910000000000537,-0.18298278619912364
87,5.765,19.905,-0.007450000000000401,0.21688370949690916
88,5.745,19.805,0.0015500000000008285,0.5176747607228801
89,5.727,19.694,0.015740000000000975,1.0024497252339486
90,5.67,19.515,0.010650000000000048,0.8695227199213734
91,5.772,19.633,0.07843000000000089,2.5913110633665553
92,5.705,19.575,0.028250000000000774,1.1279010369369245
93,5.686,19.7,-0.026999999999999247,-0.40866082278071897
94,5.679,19.644,-0.01775999999999911,-0.1544434667523625
95,5.675,19.485,0.024350000000000094,0.9527344081728911
96,5.706,19.476,0.057960000000001344,1.653104426014353
97,5.7,19.563,0.026730000000000587,0.8202023503837466
98,5.716,19.559,0.04389000000000021,1.1758177966001682
99,5.663,19.375,0.04425000000000079,1.075838949710928
100,5.7,19.441,0.062110000000000554,1.4019802916094442
101,5.729,19.524,0.06704000000000043,1.3667170023031854
102,5.728,19.595,0.04545000000000066,0.7791818714840768
103,5.745,19.565,0.07115000000000027,1.34245123518185
104,5.733,19.716,0.015359999999999374,-0.14072901798096552
105,5.704,19.63,0.01130000000000031,-0.32937612154242624
106,5.708,19.616,0.01936000000000071,-0.22743624766798123
107,5.724,19.52,0.06320000000000103,1.0993641558112908
108,5.755,19.595,0.07245000000000079,1.2787039387088568
109,5.671,19.649,-0.02720999999999929,-1.8599035384986515
110,5.745,19.864,-0.015559999999999796,-1.3865166511028424
111,5.755,19.858,-0.0038200000000001566,-1.0003568957139235
112,5.755,19.978,-0.03861999999999988,-1.7850338488248094
113,5.785,19.89,0.01690000000000058,-0.20941063922369607
114,5.748,19.872,-0.014879999999999782,-1.143055832809511
115,5.75,19.83,-0.0006999999999992568,-0.778445312261478
116,5.747,19.85,-0.009500000000000064,-0.9655243125039066
117,5.755,19.79,0.015900000000000247,-0.18336429268272653
118,5.75,19.685,0.04135000000000044,0.5408716086861614
119,5.682,19.72,-0.03679999999999861,-1.5398051297743849
120,5.756,19.741,0.03111000000000086,0.35527477303727634
121,5.772,19.77,0.0387000000000004,0.6164036627453879
122,5.756,19.76,0.025599999999999845,0.31325277142248914
123,5.802,19.76,0.07159999999999922,1.5912398284424123
124,5.801,19.58,0.12280000000000069,2.5895397702381513
125,5.721,19.54,0.054400000000001114,0.8223116147078793
126,5.699,19.406,0.07126000000000055,1.1274922769565163
127,5.7,19.375,0.08125000000000071,1.2413120220533884
128,5.675,19.336,0.06756000000000029,0.92141399857824
129,5.717,19.42,0.0851999999999995,1.2853929614360406
130,5.685,19.455,0.04305000000000092,0.28333908398059754
131,5.654,19.469,0.007990000000000386,-0.5662048721094123
132,5.678,19.475,0.030249999999999666,-0.07942195223205822
133,5.679,19.55,0.009500000000000064,-0.6838680713067775
134,5.674,19.41,0.045100000000000584,0.206800001469445
135,5.715,19.355,0.1020500000000002,1.5262428783463027
136,5.615,19.32,0.012200000000000877,-0.8150399953451191
137,5.615,19.345,0.004950000000000898,-1.0467368862222708
138,5.625,19.3,0.02800000000000047,-0.4494582518342815
139,5.582,19.116,0.03835999999999995,-0.16543652956527058
140,5.614,19.209,0.043390000000000484,-0.1534704258375387
141,5.551,19.22,-0.022799999999999265,-1.9345413377954934
142,5.585,19.252,0.001920000000001032,-1.1467838668794248
143,5.58,19.227,0.004170000000000229,-1.0343298011715842
144,5.644,19.241,0.06411000000000033,0.5772595363021931
145,5.615,19.28,0.023800000000000487,-0.43268044460615673
146,5.632,19.21,0.06109999999999971,0.6985332085456866
147,5.561,19.179,-0.0009099999999993003,-1.084160315111884
148,5.585,19.18,0.022800000000000153,-0.29441862031253013
149,5.625,19.499,-0.02970999999999968,-1.7374332530531784
150,5.61,19.498,-0.04441999999999968,-1.952351572646137
151,5.652,19.407,0.02397000000000027,0.11110123177386899
152,5.66,19.375,0.041250000000000675,0.5802349013630465
153,5.63,19.345,0.01995000000000058,-0.04257752028812835
154,5.629,19.361,0.014310000000000045,-0.21895074473862963
155,5.665,19.444,0.026240000000000485,0.1684523513195579
156,5.654,19.53,-0.009699999999999598,-0.9057998747175242
157,5.62,19.5,-0.034999999999999254,-1.615457473683636
158,5.655,19.64,-0.040599999999999525,-1.6115064696183627
159,5.699,19.54,0.03240000000000087,0.660700237680028
160,5.646,19.543,-0.021469999999999878,-0.9238568939732499
161,5.658,19.57,-0.01729999999999965,-0.7179735188809669
162,5.635,19.57,-0.040300000000000225,-1.3748386737747282
163,5.62,19.545,-0.048049999999999926,-1.4518682102973528
164,5.618,19.605,-0.06744999999999912,-1.7527076326161728
165,5.667,19.59,-0.014100000000000001,-0.26411066746942086
166,5.605,19.332,-0.0012799999999995038,0.14128972729191028
167,5.644,19.385,0.022350000000000314,0.9686127855758758
168,5.58,19.294,-0.015259999999999607,-0.21174017795837116
169,5.54,18.926,0.051460000000000505,1.7646841794689776
170,5.503,18.895,0.023450000000000415,0.841237125251815
171,5.506,18.955,0.009050000000001113,0.3475116257785526
172,5.474,18.919,-0.012509999999999799,-0.2692833069755507
173,5.49,18.966,-0.010139999999999816,-0.12479696121177478
174,5.485,18.875,0.011250000000000426,0.6050899237874746
175,5.464,18.656,0.05376000000000136,1.8137517356643
176,5.51,18.785,0.06235000000000035,1.875701934624431
177,5.536,18.76,0.09559999999999924,2.287603621546014
178,5.475,18.578,0.08738000000000046,1.8087582067378543
179,5.37,18.137,0.11027000000000076,1.9903904318235868
180,5.363,18.22,0.07920000000000105,1.2463724245797814
181,5.356,18.165,0.08815000000000062,1.2830774571458485
182,5.34,18.096,0.0921599999999998,1.2280728411429995
183,5.333,17.868,0.15128000000000075,2.020125426958222
184,5.281,17.765,0.1291500000000001,1.4827465857578483
185,5.27,17.726,0.1294599999999999,1.4059701977551322
186,5.3,17.735,0.15685000000000038,1.7021326650124922
187,5.354,17.961,0.14531000000000116,1.3487109656776295
