,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
2867,RENUSDT,IOTAUSDT,0.01,-3.97,-3.37,0.36,19
2865,RENUSDT,INJUSDT,0.0,-4.67,-3.37,0.05,19
3094,SOLUSDT,DOTUSDT,0.03,-3.54,-3.37,2.36,19
2859,RENUSDT,GTCUSDT,0.0,-5.1,-3.37,0.05,19
3095,SOLUSDT,NEARUSDT,0.02,-3.71,-3.37,7.34,19
195,ALICEUSDT,LUNA2USDT,0.02,-3.74,-3.37,0.72,19
2706,ONEUSDT,ENJUSDT,0.03,-3.54,-3.37,0.05,19
728,BCHUSDT,SANDUSDT,0.04,-3.42,-3.37,178.28,19
201,ALICEUSDT,RNDRUSDT,0.03,-3.59,-3.37,2.48,19
2548,MTLUSDT,JASMYUSDT,0.01,-3.97,-3.37,173.05,19
2547,MTLUSDT,IOTXUSDT,0.03,-3.48,-3.37,28.01,19
804,BELUSDT,MTLUSDT,0.04,-3.42,-3.37,0.59,19
7,1000LUNCUSDT,AXSUSDT,0.0,-4.94,-3.37,0.02,19
2543,MTLUSDT,GTCUSDT,0.04,-3.44,-3.37,0.4,19
3347,TRXUSDT,RSS3USDT,0.0,-4.42,-3.37,0.41,19
2526,MTLUSDT,DENTUSDT,0.01,-4.08,-3.37,1005.19,19
2521,MTLUSDT,CROUSDT,0.0,-4.21,-3.37,9.87,19
2517,MTLUSDT,CKBUSDT,0.01,-3.94,-3.37,268.3,19
2514,MTLUSDT,BOBAUSDT,0.01,-4.0,-3.37,3.29,19
2512,MTLUSDT,BNBUSDT,0.03,-3.58,-3.37,0.0,19
2509,MTLUSDT,BALUSDT,0.02,-3.67,-3.37,0.13,19
3351,TRXUSDT,STORJUSDT,0.02,-3.65,-3.37,0.16,19
237,ANKRUSDT,ACHUSDT,0.02,-3.69,-3.37,2.18,19
253,ANKRUSDT,FTMUSDT,0.02,-3.67,-3.37,0.12,19
2439,LRCUSDT,ETHUSDT,0.02,-3.76,-3.37,0.0,19
82,ACHUSDT,CTCUSDT,0.04,-3.46,-3.37,0.03,19
3394,USDCUSDT,1000LUNCUSDT,0.0,-12.83,-3.37,5.79,19
2421,LINKUSDT,TLMUSDT,0.02,-3.7,-3.37,403.57,19
3419,USDCUSDT,BICOUSDT,0.0,-12.9,-3.37,3.39,19
3431,USDCUSDT,CELUSDT,0.0,-13.63,-3.37,2.03,19
2550,MTLUSDT,KDAUSDT,0.02,-3.61,-3.37,0.77,19
3335,TRXUSDT,APEUSDT,0.0,-4.27,-3.37,0.02,19
721,BCHUSDT,QTUMUSDT,0.01,-4.08,-3.37,50.6,19
2635,NEOUSDT,IOSTUSDT,0.04,-3.41,-3.37,798.14,19
2678,OGNUSDT,OCEANUSDT,0.0,-4.79,-3.37,0.78,19
978,BSWUSDT,MKRUSDT,0.04,-3.39,-3.37,0.0,19
207,ALICEUSDT,VETUSDT,0.03,-3.58,-3.37,61.86,19
3227,SUNUSDT,VETUSDT,0.0,-4.97,-3.37,0.26,19
51,AAVEUSDT,DOTUSDT,0.04,-3.41,-3.37,10.23,19
2647,NEOUSDT,TRBUSDT,0.02,-3.6,-3.37,0.58,19
829,BELUSDT,YGGUSDT,0.04,-3.44,-3.37,1.83,19
105,AGLDUSDT,BNXUSDT,0.02,-3.74,-3.37,0.0,19
2642,NEOUSDT,ROSEUSDT,0.01,-3.95,-3.37,143.81,19
8,1000LUNCUSDT,BTCUSDT,0.02,-3.66,-3.37,0.0,19
2980,RSRUSDT,MATICUSDT,0.02,-3.75,-3.37,0.0,19
2630,NEOUSDT,GLMRUSDT,0.01,-4.0,-3.37,18.61,19
3955,YGGUSDT,ZECUSDT,0.0,-4.2,-3.37,0.01,19
2624,NEOUSDT,CHRUSDT,0.0,-4.26,-3.37,59.78,19
218,ALPHAUSDT,GALUSDT,0.01,-3.84,-3.37,0.06,19
219,ALPHAUSDT,KDAUSDT,0.03,-3.52,-3.37,0.1,19
2616,MTLUSDT,ZECUSDT,0.03,-3.55,-3.37,0.02,19
2615,MTLUSDT,YGGUSDT,0.03,-3.53,-3.37,3.1,19
3293,TOMOUSDT,LITUSDT,0.03,-3.5,-3.37,0.42,19
3302,TOMOUSDT,ROSEUSDT,0.03,-3.48,-3.37,6.46,19
3328,TRBUSDT,SOLUSDT,0.03,-3.59,-3.37,0.85,19
2353,KDAUSDT,ZECUSDT,0.0,-4.16,-3.37,0.02,19
1450,CROUSDT,CTSIUSDT,0.0,-4.16,-3.37,0.67,19
1582,CTKUSDT,SANDUSDT,0.04,-3.45,-3.37,1.31,19
1845,FILUSDT,DOTUSDT,0.04,-3.43,-3.37,0.76,19
534,BAKEUSDT,IMXUSDT,0.03,-3.48,-3.37,0.43,19
1335,CELUSDT,OGNUSDT,0.02,-3.66,-3.37,4.78,19
1468,CROUSDT,GLMRUSDT,0.0,-5.21,-3.37,0.19,19
3918,YGGUSDT,PAXGUSDT,0.0,-4.12,-3.37,0.0,19
504,BAKEUSDT,BICOUSDT,0.03,-3.56,-3.37,0.61,19
1339,CELUSDT,RSRUSDT,0.03,-3.56,-3.37,119.0,19
1483,CROUSDT,KSMUSDT,0.01,-3.84,-3.37,0.0,19
1864,FILUSDT,LOOKSUSDT,0.0,-5.41,-3.37,32.03,19
1296,CELUSDT,ETHUSDT,0.04,-3.43,-3.37,0.0,19
1776,EGLDUSDT,ZECUSDT,0.02,-3.67,-3.37,1.08,19
1985,GTCUSDT,TRBUSDT,0.04,-3.44,-3.37,0.15,19
1294,CELUSDT,EOSUSDT,0.03,-3.57,-3.37,0.55,19
1348,CELUSDT,SUSHIUSDT,0.03,-3.5,-3.37,0.4,19
1877,FILUSDT,ROSEUSDT,0.02,-3.75,-3.37,93.64,19
1591,CTSIUSDT,NEOUSDT,0.03,-3.49,-3.37,0.02,19
2036,HNTUSDT,FTMUSDT,0.02,-3.6,-3.37,13.57,19
1325,CELUSDT,LINAUSDT,0.01,-4.02,-3.37,81.15,19
2012,HNTUSDT,CEEKUSDT,0.05,-3.37,-3.37,24.56,19
1238,CELRUSDT,CROUSDT,0.01,-3.82,-3.37,0.16,19
1642,DARUSDT,MATICUSDT,0.04,-3.43,-3.37,0.15,19
1194,C98USDT,SXPUSDT,0.01,-3.83,-3.37,1.13,19
1305,CELUSDT,GALUSDT,0.03,-3.56,-3.37,0.34,19
3916,YGGUSDT,ONTUSDT,0.03,-3.49,-3.37,1.29,19
1482,CROUSDT,KDAUSDT,0.0,-4.59,-3.37,0.08,19
3894,YGGUSDT,IOSTUSDT,0.02,-3.61,-3.37,26.46,19
1973,GTCUSDT,LINAUSDT,0.04,-3.42,-3.37,280.31,19
1300,CELUSDT,FLMUSDT,0.04,-3.41,-3.37,6.22,19
1967,GTCUSDT,GALAUSDT,0.02,-3.67,-3.37,60.4,19
1827,ETHUSDT,MATICUSDT,0.03,-3.55,-3.37,1367.08,19
1436,CROUSDT,ALPHAUSDT,0.0,-4.81,-3.37,0.79,19
17,1000LUNCUSDT,OGNUSDT,0.03,-3.58,-3.37,1.68,19
1477,CROUSDT,INJUSDT,0.0,-4.82,-3.37,0.04,19
1438,CROUSDT,ARPAUSDT,0.01,-3.91,-3.37,2.6,19
1635,DARUSDT,10000NFTUSDT,0.03,-3.52,-3.37,27.57,19
640,BCHUSDT,BNXUSDT,0.01,-3.79,-3.37,0.69,19
1321,CELUSDT,KAVAUSDT,0.04,-3.46,-3.37,0.55,19
1879,FILUSDT,RVNUSDT,0.01,-3.99,-3.37,200.7,19
13,1000LUNCUSDT,FLOWUSDT,0.01,-4.11,-3.37,0.14,19
2037,HNTUSDT,FXSUSDT,0.01,-3.81,-3.37,0.54,19
573,BANDUSDT,DOTUSDT,0.03,-3.5,-3.37,0.34,19
1709,DOGEUSDT,ILVUSDT,0.0,-4.55,-3.37,0.0,19
1936,GALUSDT,OGNUSDT,0.01,-3.85,-3.37,13.89,19
1752,DYDXUSDT,MANAUSDT,0.0,-4.69,-3.37,5.21,19
1727,DUSKUSDT,EOSUSDT,0.02,-3.71,-3.37,0.1,19
1939,GALUSDT,TRBUSDT,0.02,-3.75,-3.37,0.12,19
1277,CELUSDT,BSVUSDT,0.04,-3.45,-3.37,0.01,19
1920,FTMUSDT,UNIUSDT,0.01,-4.03,-3.37,0.03,19
2046,HNTUSDT,IMXUSDT,0.01,-4.0,-3.37,5.94,19
1396,COMPUSDT,LINKUSDT,0.03,-3.5,-3.37,6.36,19
1368,CHRUSDT,KDAUSDT,0.02,-3.66,-3.37,0.13,19
1452,CROUSDT,DENTUSDT,0.0,-5.19,-3.37,101.72,19
1554,CTCUSDT,MASKUSDT,0.03,-3.57,-3.37,0.12,19
1930,GALAUSDT,MATICUSDT,0.04,-3.44,-3.37,0.03,19
1997,HNTUSDT,ALICEUSDT,0.02,-3.64,-3.37,2.06,19
3921,YGGUSDT,QTUMUSDT,0.04,-3.39,-3.37,0.11,19
1909,FTMUSDT,ALPHAUSDT,0.02,-3.63,-3.37,2.07,19
633,BCHUSDT,BALUSDT,0.04,-3.46,-3.37,19.19,19
1308,CELUSDT,GMXUSDT,0.04,-3.39,-3.37,0.01,19
1460,CROUSDT,EOSUSDT,0.0,-4.23,-3.37,0.08,19
2039,HNTUSDT,GALUSDT,0.01,-3.97,-3.37,1.72,19
1263,CELUSDT,AAVEUSDT,0.03,-3.54,-3.37,0.01,19
1272,CELUSDT,AVAXUSDT,0.03,-3.56,-3.37,0.04,19
1352,CELUSDT,TRBUSDT,0.02,-3.71,-3.37,0.04,19
2897,RENUSDT,QTUMUSDT,0.02,-3.74,-3.37,0.04,18
2819,RENUSDT,BTCUSDT,0.0,-4.21,-3.37,0.0,18
955,BSVUSDT,THETAUSDT,0.04,-3.43,-3.37,43.7,18
1775,EGLDUSDT,TRBUSDT,0.0,-4.14,-3.37,3.74,18
779,BELUSDT,CVXUSDT,0.02,-3.61,-3.37,0.1,18
1971,GTCUSDT,INJUSDT,0.01,-3.91,-3.37,0.98,18
2811,RENUSDT,BATUSDT,0.01,-4.09,-3.37,0.34,18
2752,PEOPLEUSDT,HBARUSDT,0.03,-3.48,-3.37,0.48,18
2272,JSTUSDT,QTUMUSDT,0.01,-3.92,-3.37,0.01,18
495,BAKEUSDT,API3USDT,0.0,-5.82,-3.37,0.13,18
2,10000NFTUSDT,UNIUSDT,0.03,-3.55,-3.37,0.0,18
2901,RENUSDT,RSRUSDT,0.0,-5.21,-3.37,18.84,18
3942,YGGUSDT,THETAUSDT,0.01,-3.84,-3.37,0.25,18
3445,USDCUSDT,DENTUSDT,0.0,-12.98,-3.37,1473.38,18
2730,ONTUSDT,TRXUSDT,0.0,-4.14,-3.37,3.38,18
3965,ZECUSDT,LINAUSDT,0.0,-4.41,-3.37,6568.36,18
2794,RENUSDT,AKROUSDT,0.01,-3.93,-3.37,28.68,18
3786,XRPUSDT,SLPUSDT,0.0,-13.68,-3.37,150.25,18
509,BAKEUSDT,COMPUSDT,0.0,-4.62,-3.37,0.0,18
3449,USDCUSDT,DUSKUSDT,0.0,-12.83,-3.37,11.19,18
3795,XRPUSDT,THETAUSDT,0.0,-13.8,-3.37,0.42,18
2225,IOTAUSDT,COMPUSDT,0.05,-3.37,-3.37,0.01,18
2765,QTUMUSDT,ARPAUSDT,0.02,-3.61,-3.37,77.24,18
1096,C98USDT,DARUSDT,0.02,-3.75,-3.37,2.08,18
2870,RENUSDT,JSTUSDT,0.01,-3.86,-3.37,3.72,18
176,ALICEUSDT,BSVUSDT,0.04,-3.38,-3.37,0.03,18
1794,EOSUSDT,ALPHAUSDT,0.02,-3.59,-3.37,10.29,18
1404,COMPUSDT,SUNUSDT,0.0,-4.18,-3.37,7777.65,18
1257,CELRUSDT,ZILUSDT,0.03,-3.55,-3.37,0.52,18
952,BSVUSDT,SANDUSDT,0.02,-3.63,-3.37,66.75,18
2754,PEOPLEUSDT,IOTXUSDT,0.04,-3.43,-3.37,0.94,18
2264,JSTUSDT,FLOWUSDT,0.04,-3.44,-3.37,0.02,18
2753,PEOPLEUSDT,HOTUSDT,0.01,-4.06,-3.37,14.74,18
2836,RENUSDT,DGBUSDT,0.01,-3.79,-3.37,11.28,18
204,ALICEUSDT,SUNUSDT,0.01,-3.93,-3.37,235.91,18
685,BCHUSDT,ICXUSDT,0.02,-3.64,-3.37,672.66,18
619,BCHUSDT,ACHUSDT,0.0,-4.14,-3.37,10664.76,18
33,1INCHUSDT,QTUMUSDT,0.02,-3.6,-3.37,0.25,18
288,API3USDT,ACHUSDT,0.04,-3.45,-3.37,146.42,18
3505,USDCUSDT,OCEANUSDT,0.0,-12.83,-3.37,7.63,18
1891,FITFIUSDT,LUNA2USDT,0.04,-3.44,-3.37,0.02,18
1010,BTCUSDT,FLOWUSDT,0.0,-5.15,-3.37,13814.65,18
1898,FLMUSDT,SUNUSDT,0.01,-3.9,-3.37,15.66,18
463,AXSUSDT,KLAYUSDT,0.0,-5.59,-3.37,41.27,18
3545,USDCUSDT,WAVESUSDT,0.0,-12.82,-3.37,0.44,18
1457,CROUSDT,EGLDUSDT,0.01,-3.88,-3.37,0.0,18
2470,MINAUSDT,LDOUSDT,0.01,-3.78,-3.37,0.47,18
243,ANKRUSDT,BCHUSDT,0.0,-4.56,-3.37,0.0,18
2374,KSMUSDT,PAXGUSDT,0.03,-3.49,-3.37,0.01,18
1250,CELRUSDT,RSS3USDT,0.04,-3.47,-3.37,0.09,18
1057,C98USDT,APEUSDT,0.04,-3.39,-3.37,0.09,18
1031,BTCUSDT,RSRUSDT,0.0,-4.53,-3.37,4035425.52,18
446,AXSUSDT,FLOWUSDT,0.0,-4.64,-3.37,5.86,18
2453,MANAUSDT,REEFUSDT,0.01,-3.81,-3.37,134.52,18
2380,LDOUSDT,WAVESUSDT,0.02,-3.76,-3.37,0.51,18
1917,FTMUSDT,OGNUSDT,0.01,-4.04,-3.37,1.76,18
1041,BTCUSDT,XLMUSDT,0.0,-4.12,-3.37,186016.67,18
3828,YGGUSDT,ALGOUSDT,0.02,-3.64,-3.37,0.8,18
2413,LINKUSDT,GALUSDT,0.05,-3.38,-3.37,4.32,18
3830,YGGUSDT,ALPHAUSDT,0.01,-4.07,-3.37,2.52,18
451,AXSUSDT,GMXUSDT,0.0,-4.57,-3.37,0.17,18
3817,XTZUSDT,LINAUSDT,0.0,-4.74,-3.37,163.95,18
2571,MTLUSDT,PEOPLEUSDT,0.01,-3.98,-3.37,29.81,18
2580,MTLUSDT,RSS3USDT,0.02,-3.66,-3.37,5.57,18
2581,MTLUSDT,RUNEUSDT,0.01,-4.08,-3.37,0.58,18
2723,ONEUSDT,SUSHIUSDT,0.03,-3.57,-3.37,0.01,18
2719,ONEUSDT,RSRUSDT,0.0,-5.2,-3.37,3.39,18
1481,CROUSDT,KAVAUSDT,0.0,-4.25,-3.37,0.08,18
2714,ONEUSDT,LRCUSDT,0.01,-4.04,-3.37,0.06,18
433,AXSUSDT,CTKUSDT,0.0,-4.96,-3.37,9.27,18
3798,XRPUSDT,TRXUSDT,0.0,-13.98,-3.37,7.46,18
2709,ONEUSDT,FLMUSDT,0.02,-3.73,-3.37,0.18,18
203,ALICEUSDT,SNXUSDT,0.02,-3.73,-3.37,0.69,18
3777,XRPUSDT,RSS3USDT,0.0,-14.04,-3.37,3.08,18
968,BSWUSDT,EGLDUSDT,0.0,-5.07,-3.37,0.0,18
312,APTUSDT,PEOPLEUSDT,0.04,-3.46,-3.37,193.31,18
3917,YGGUSDT,OPUSDT,0.01,-3.82,-3.37,0.24,18
985,BSWUSDT,TRBUSDT,0.0,-4.7,-3.37,0.02,18
2645,NEOUSDT,SNXUSDT,0.0,-4.46,-3.37,3.85,18
2319,KDAUSDT,LOOKSUSDT,0.0,-5.45,-3.37,6.57,18
3806,XRPUSDT,XMRUSDT,0.0,-14.04,-3.37,0.0,18
1471,CROUSDT,GTCUSDT,0.01,-3.89,-3.37,0.04,18
1230,CELRUSDT,1000XECUSDT,0.0,-4.21,-3.37,0.38,18
679,BCHUSDT,GMXUSDT,0.04,-3.41,-3.37,2.5,18
3810,XRPUSDT,YGGUSDT,0.0,-13.66,-3.37,1.71,18
302,API3USDT,SNXUSDT,0.0,-4.18,-3.37,0.83,18
998,BTCUSDT,DARUSDT,0.03,-3.58,-3.37,124539.84,18
3813,XRPUSDT,ZILUSDT,0.0,-13.92,-3.37,17.59,18
511,BAKEUSDT,CTCUSDT,0.02,-3.67,-3.37,0.48,18
3327,TRBUSDT,SHIB1000USDT,0.0,-4.32,-3.37,1263.2,18
3904,YGGUSDT,LOOKSUSDT,0.01,-3.83,-3.37,1.63,18
3759,XRPUSDT,MINAUSDT,0.0,-13.77,-3.37,0.68,18
3631,XNOUSDT,DARUSDT,0.03,-3.59,-3.37,4.43,18
401,AVAXUSDT,SHIB1000USDT,0.0,-4.17,-3.37,1423.4,18
1416,COTIUSDT,BITUSDT,0.0,-4.34,-3.37,0.24,18
566,BAKEUSDT,VETUSDT,0.02,-3.6,-3.37,9.32,18
3172,SUNUSDT,IMXUSDT,0.01,-3.85,-3.37,0.01,18
3735,XRPUSDT,ICXUSDT,0.0,-13.97,-3.37,2.45,18
3152,SUNUSDT,ENJUSDT,0.0,-4.59,-3.37,0.02,18
559,BAKEUSDT,SOLUSDT,0.04,-3.41,-3.37,0.01,18
554,BAKEUSDT,RSRUSDT,0.03,-3.58,-3.37,43.42,18
3127,SUNUSDT,BLZUSDT,0.0,-5.31,-3.37,0.09,18
1421,COTIUSDT,CVXUSDT,0.0,-4.18,-3.37,0.02,18
3105,STXUSDT,LPTUSDT,0.03,-3.57,-3.37,0.03,18
1424,COTIUSDT,HNTUSDT,0.0,-4.33,-3.37,0.03,18
1175,C98USDT,RSS3USDT,0.01,-3.86,-3.37,2.27,18
3390,UNFIUSDT,ZRXUSDT,0.01,-3.84,-3.37,23.57,18
1310,CELUSDT,GTCUSDT,0.04,-3.45,-3.37,0.29,18
1669,DGBUSDT,1000XECUSDT,0.04,-3.39,-3.37,0.24,18
1679,DGBUSDT,IOTXUSDT,0.04,-3.41,-3.37,0.28,18
3031,SANDUSDT,MKRUSDT,0.03,-3.48,-3.37,0.0,18
3026,SANDUSDT,CVXUSDT,0.0,-4.54,-3.37,0.15,18
3616,XLMUSDT,AXSUSDT,0.0,-4.29,-3.37,0.01,18
3194,SUNUSDT,OGNUSDT,0.0,-5.26,-3.37,0.05,18
569,BANDUSDT,AXSUSDT,0.0,-5.39,-3.37,0.27,18
3633,XNOUSDT,FITFIUSDT,0.04,-3.42,-3.37,15.67,18
3334,TRXUSDT,1INCHUSDT,0.03,-3.5,-3.37,0.1,18
3326,TRBUSDT,RSRUSDT,0.02,-3.76,-3.37,2786.36,18
3330,TRBUSDT,XLMUSDT,0.04,-3.38,-3.37,128.41,18
2055,HNTUSDT,LOOKSUSDT,0.01,-4.04,-3.37,18.17,18
584,BATUSDT,API3USDT,0.04,-3.38,-3.37,0.16,18
807,BELUSDT,OGNUSDT,0.01,-3.9,-3.37,3.92,18
3307,TOMOUSDT,STXUSDT,0.03,-3.53,-3.37,1.29,18
3646,XNOUSDT,THETAUSDT,0.04,-3.44,-3.37,0.67,18
3699,XRPUSDT,CTKUSDT,0.0,-13.65,-3.37,0.5,18
408,AXSUSDT,AAVEUSDT,0.0,-4.93,-3.37,0.12,18
1160,C98USDT,OCEANUSDT,0.01,-3.82,-3.37,2.12,18
1594,CTSIUSDT,PEOPLEUSDT,0.02,-3.65,-3.37,4.51,18
3707,XRPUSDT,DODOUSDT,0.0,-13.61,-3.37,3.26,18
574,BANDUSDT,ETHWUSDT,0.01,-3.97,-3.37,0.52,18
415,AXSUSDT,ASTRUSDT,0.0,-4.66,-3.37,194.01,18
714,BCHUSDT,NEOUSDT,0.03,-3.48,-3.37,15.64,18
599,BATUSDT,FTMUSDT,0.02,-3.65,-3.37,1.25,18
3690,XRPUSDT,CHRUSDT,0.0,-13.75,-3.37,3.4,18
3228,SUNUSDT,WAVESUSDT,0.0,-5.6,-3.37,0.0,18
48,AAVEUSDT,DENTUSDT,0.01,-4.07,-3.37,86141.86,18
3361,UNFIUSDT,BATUSDT,0.03,-3.49,-3.37,18.87,18
3858,YGGUSDT,CTSIUSDT,0.02,-3.64,-3.37,2.13,18
339,ARPAUSDT,SUNUSDT,0.01,-3.85,-3.37,5.27,18
522,BAKEUSDT,ETCUSDT,0.04,-3.44,-3.37,0.01,18
38,AAVEUSDT,BAKEUSDT,0.02,-3.68,-3.37,326.37,18
3007,RUNEUSDT,SUNUSDT,0.02,-3.68,-3.37,235.38,18
145,AGLDUSDT,STMXUSDT,0.01,-3.79,-3.37,48.57,18
3403,USDCUSDT,ALPHAUSDT,0.0,-12.83,-3.37,11.44,18
2992,RUNEUSDT,CTSIUSDT,0.03,-3.52,-3.37,11.48,18
3613,XEMUSDT,YFIUSDT,0.01,-3.99,-3.37,0.0,18
3409,USDCUSDT,ARPAUSDT,0.0,-12.98,-3.37,37.66,18
3011,RUNEUSDT,XLMUSDT,0.01,-3.96,-3.37,13.25,18
1297,CELUSDT,ETHWUSDT,0.04,-3.43,-3.37,0.13,18
3002,RUNEUSDT,OMGUSDT,0.02,-3.59,-3.37,1.04,18
3407,USDCUSDT,API3USDT,0.0,-12.88,-3.37,0.7,18
2924,RENUSDT,TRXUSDT,0.02,-3.74,-3.37,1.54,18
2966,ROSEUSDT,FLMUSDT,0.04,-3.4,-3.37,0.58,18
81,ACHUSDT,ARPAUSDT,0.01,-3.85,-3.37,0.37,18
1351,CELUSDT,TLMUSDT,0.01,-3.94,-3.37,32.15,17
1579,CTKUSDT,MKRUSDT,0.01,-3.89,-3.37,0.0,17
3822,YGGUSDT,10000NFTUSDT,0.01,-4.07,-3.37,45.4,17
2527,MTLUSDT,DODOUSDT,0.01,-3.82,-3.37,5.89,17
2529,MTLUSDT,DOTUSDT,0.03,-3.54,-3.37,0.12,17
1581,CTKUSDT,RNDRUSDT,0.04,-3.41,-3.37,1.59,17
3349,TRXUSDT,STGUSDT,0.0,-4.75,-3.37,0.13,17
2499,MTLUSDT,AGLDUSDT,0.01,-3.85,-3.37,2.82,17
2537,MTLUSDT,FLOWUSDT,0.03,-3.58,-3.37,0.57,17
2495,MTLUSDT,1000LUNCUSDT,0.02,-3.6,-3.37,3.95,17
2782,REEFUSDT,TRBUSDT,0.01,-3.88,-3.37,0.0,17
1496,CROUSDT,OMGUSDT,0.0,-4.55,-3.37,0.06,17
664,BCHUSDT,DOTUSDT,0.03,-3.53,-3.37,18.16,17
2546,MTLUSDT,IOSTUSDT,0.02,-3.69,-3.37,82.03,17
3949,YGGUSDT,XEMUSDT,0.02,-3.67,-3.37,6.88,17
2963,ROSEUSDT,DOGEUSDT,0.04,-3.46,-3.37,0.55,17
2853,RENUSDT,GALAUSDT,0.0,-5.17,-3.37,2.77,17
221,ALPHAUSDT,LINKUSDT,0.0,-4.13,-3.37,0.01,17
1347,CELUSDT,SUNUSDT,0.04,-3.47,-3.37,97.46,17
704,BCHUSDT,LRCUSDT,0.04,-3.4,-3.37,420.09,17
3485,USDCUSDT,KDAUSDT,0.0,-12.87,-3.37,1.13,17
3483,USDCUSDT,JSTUSDT,0.0,-12.98,-3.37,47.92,17
1705,DOGEUSDT,ENJUSDT,0.01,-3.78,-3.37,0.27,17
1346,CELUSDT,STGUSDT,0.02,-3.68,-3.37,1.22,17
2846,RENUSDT,ETHUSDT,0.0,-5.09,-3.37,0.0,17
2489,MKRUSDT,TLMUSDT,0.02,-3.6,-3.37,43989.46,17
1016,BTCUSDT,ILVUSDT,0.01,-3.78,-3.37,382.12,17
2861,RENUSDT,HOTUSDT,0.0,-4.16,-3.37,50.11,17
2423,LINKUSDT,UNIUSDT,0.01,-3.88,-3.37,1.05,17
813,BELUSDT,RNDRUSDT,0.04,-3.45,-3.37,0.84,17
251,ANKRUSDT,FILUSDT,0.04,-3.44,-3.37,0.0,17
725,BCHUSDT,ROSEUSDT,0.04,-3.42,-3.37,2249.01,17
160,AKROUSDT,ANKRUSDT,0.02,-3.73,-3.37,0.13,17
3416,USDCUSDT,BANDUSDT,0.0,-12.86,-3.37,0.52,17
3315,TRBUSDT,ENJUSDT,0.03,-3.51,-3.37,37.11,17
3320,TRBUSDT,LOOKSUSDT,0.03,-3.49,-3.37,85.14,17
1458,CROUSDT,ENJUSDT,0.0,-4.61,-3.37,0.22,17
1732,DUSKUSDT,INJUSDT,0.02,-3.72,-3.37,0.05,17
2409,LINAUSDT,ZENUSDT,0.03,-3.55,-3.37,0.0,17
3324,TRBUSDT,MATICUSDT,0.0,-4.46,-3.37,12.96,17
2921,RENUSDT,THETAUSDT,0.0,-4.45,-3.37,0.09,17
267,ANKRUSDT,RVNUSDT,0.0,-4.28,-3.37,0.99,17
1282,CELUSDT,CTKUSDT,0.01,-3.99,-3.37,0.64,17
922,BSVUSDT,ENJUSDT,0.04,-3.43,-3.37,125.49,17
1746,DUSKUSDT,UNIUSDT,0.03,-3.48,-3.37,0.02,17
2940,RENUSDT,ZENUSDT,0.0,-5.16,-3.37,0.01,17
3426,USDCUSDT,BSWUSDT,0.0,-13.06,-3.37,4.88,17
245,ANKRUSDT,BTCUSDT,0.0,-4.48,-3.37,0.0,17
576,BANDUSDT,INJUSDT,0.03,-3.51,-3.37,1.12,17
55,AAVEUSDT,FITFIUSDT,0.05,-3.37,-3.37,1549.4,17
2881,RENUSDT,LRCUSDT,0.0,-5.09,-3.37,0.31,17
3278,TOMOUSDT,CTKUSDT,0.02,-3.74,-3.37,0.39,17
104,AGLDUSDT,BITUSDT,0.03,-3.47,-3.37,0.8,17
784,BELUSDT,ENSUSDT,0.0,-4.27,-3.37,0.03,17
3270,TOMOUSDT,ACHUSDT,0.03,-3.56,-3.37,30.62,17
109,AGLDUSDT,CROUSDT,0.03,-3.49,-3.37,3.5,17
624,BCHUSDT,APEUSDT,0.02,-3.66,-3.37,34.53,17
2944,RNDRUSDT,CHRUSDT,0.03,-3.53,-3.37,4.3,17
2973,ROSEUSDT,MASKUSDT,0.04,-3.44,-3.37,0.02,17
233,ALPHAUSDT,UNIUSDT,0.02,-3.6,-3.37,0.01,17
2842,RENUSDT,ENJUSDT,0.0,-4.71,-3.37,0.25,17
1470,CROUSDT,GRTUSDT,0.0,-4.31,-3.37,1.13,17
2974,ROSEUSDT,RNDRUSDT,0.04,-3.45,-3.37,0.1,17
186,ALICEUSDT,ETHUSDT,0.04,-3.41,-3.37,0.0,17
2995,RUNEUSDT,FITFIUSDT,0.04,-3.42,-3.37,31.43,17
1511,CROUSDT,SOLUSDT,0.01,-3.97,-3.37,0.01,17
871,BLZUSDT,IOSTUSDT,0.02,-3.62,-3.37,6.99,17
3893,YGGUSDT,INJUSDT,0.03,-3.48,-3.37,0.13,17
3087,SLPUSDT,XLMUSDT,0.03,-3.53,-3.37,0.03,17
1810,EOSUSDT,UNIUSDT,0.01,-3.78,-3.37,0.15,17
1656,DASHUSDT,APEUSDT,0.02,-3.69,-3.37,11.38,17
2721,ONEUSDT,SOLUSDT,0.02,-3.71,-3.37,0.0,17
3070,SLPUSDT,LOOKSUSDT,0.01,-3.77,-3.37,0.02,17
2998,RUNEUSDT,KNCUSDT,0.04,-3.38,-3.37,1.97,17
57,AAVEUSDT,FTMUSDT,0.03,-3.53,-3.37,323.49,17
2731,ONTUSDT,YFIUSDT,0.03,-3.57,-3.37,0.0,17
2732,ONTUSDT,ZRXUSDT,0.04,-3.43,-3.37,0.95,17
136,AGLDUSDT,PAXGUSDT,0.02,-3.67,-3.37,0.0,17
3039,SHIB1000USDT,DOGEUSDT,0.04,-3.4,-3.37,0.11,17
1856,FILUSDT,GTCUSDT,0.03,-3.58,-3.37,2.55,17
889,BLZUSDT,RVNUSDT,0.02,-3.6,-3.37,2.7,17
